IDBASE,X,Y
279, 48.8707880814, 2.33364075283
280, 48.8703389754, 2.33099958186
281, 48.871254264, 2.3363424595
282, 48.8717406263, 2.34097319111
283, 48.8691150199, 2.35402102366
284, 48.8712796183, 2.33650178095
285, 48.8716506184, 2.33865739691
286, 48.8660325463, 2.34581903897
287, 48.8678701169, 2.33743915892
288, 48.8711445146, 2.33571452477
289, 48.8714520236, 2.33748927483
290, 48.8694211444, 2.35344434188
291, 48.8651380987, 2.34501412258
292, 48.8698296293, 2.3498572601
293, 48.8694839813, 2.33828342185
294, 48.8642820708, 2.34823064693
295, 48.8694664059, 2.34839569392
296, 48.8670239476, 2.348430717
297, 48.8710258486, 2.33501843183
298, 48.8672018827, 2.35040954761
299, 48.8710310677, 2.34531498619
300, 48.8717767388, 2.34075507858
301, 48.8704679439, 2.34856186588
302, 48.868388994, 2.35361183974
303, 48.864331359, 2.3482346922
304, 48.8708514589, 2.33401903676
305, 48.8713837351, 2.33710075188
306, 48.8649536116, 2.35168963549
307, 48.8712672547, 2.33642596077
308, 48.8673554459, 2.34962632081
309, 48.8716891159, 2.3388814755
310, 48.8660765762, 2.3455209311
311, 48.8681357439, 2.35346947078
312, 48.8649547929, 2.351295207
313, 48.8680661855, 2.33730808492
314, 48.8698324208, 2.35011459847
315, 48.8700050572, 2.35075904936
316, 48.8704300214, 2.34101965626
317, 48.8668474994, 2.34930575356
318, 48.8672261289, 2.34139969403
319, 48.8647356749, 2.3458736288
320, 48.8708373458, 2.34647283535
321, 48.865684075, 2.352094512
322, 48.8666647576, 2.35021377015
323, 48.8702058869, 2.34224743398
324, 48.8703853275, 2.34258869075
325, 48.867291441, 2.34992784433
326, 48.869905211, 2.32844877985
327, 48.8680095187, 2.347351089
328, 48.8655354777, 2.34484551909
329, 48.871609354, 2.34177322905
330, 48.8694130675, 2.34829519309
331, 48.8706592792, 2.33287735649
332, 48.8715333742, 2.33796810291
333, 48.868103286, 2.33732967007
334, 48.868557967, 2.34699702628
335, 48.8642367728, 2.34823265858
336, 48.8671973022, 2.35040736907
337, 48.8699282842, 2.3498567513
338, 48.8711336239, 2.33564976992
339, 48.8672716734, 2.35003878372
340, 48.8684743477, 2.35366127508
341, 48.8704523696, 2.34260436775
342, 48.870200624, 2.34983384349
343, 48.865215661, 2.3449817675
344, 48.8684812551, 2.34455734671
345, 48.8709000466, 2.34609881633
346, 48.8660143564, 2.34463942275
347, 48.8707200214, 2.34717059993
348, 48.8711232284, 2.33558672655
349, 48.8702599881, 2.3305318421
350, 48.8707374111, 2.33334170597
351, 48.8655050106, 2.34352807579
352, 48.8700839784, 2.33903562722
353, 48.8699816065, 2.32890032367
354, 48.8693687597, 2.34534084094
355, 48.8718117694, 2.33959206836
356, 48.8707340158, 2.34709818318
357, 48.8694842003, 2.34490216236
358, 48.8708611025, 2.34632884492
359, 48.8717447499, 2.33919757985
360, 48.8705447784, 2.34820575256
361, 48.8698205369, 2.34921348399
362, 48.8668626007, 2.35275426982
363, 48.8711357916, 2.34469133138
364, 48.8703099967, 2.34931159236
365, 48.8681872279, 2.34857751892
366, 48.8678340331, 2.33758988642
367, 48.8700717014, 2.35044467703
368, 48.8648709238, 2.35164276352
369, 48.8674304968, 2.35307479414
370, 48.8672167141, 2.35041641045
371, 48.8689325544, 2.34666790313
372, 48.8655813504, 2.34365496525
373, 48.87016309, 2.33398925677
374, 48.8710533915, 2.33518287735
375, 48.8700223565, 2.35067045212
376, 48.8714847508, 2.34253748694
377, 48.8694775324, 2.35318620245
378, 48.8677573011, 2.3532597737
379, 48.8639826854, 2.34931939904
380, 48.8700901312, 2.34900822694
381, 48.8671085577, 2.35045756477
382, 48.8708683872, 2.33412297699
383, 48.8673581709, 2.34971734942
384, 48.8702470589, 2.33045687728
385, 48.8646728459, 2.34606274959
386, 48.8715778691, 2.34196152032
387, 48.8698951742, 2.34978293399
388, 48.8641239224, 2.35122518314
389, 48.8680532774, 2.33778047304
390, 48.8650658007, 2.34905445056
391, 48.865655537, 2.35168729328
392, 48.871301735, 2.34369279525
393, 48.8703348276, 2.34257032381
394, 48.8695066741, 2.34482809955
395, 48.8647325013, 2.3460235737
396, 48.8717066801, 2.34118790852
397, 48.8658570326, 2.35219508962
398, 48.8660231047, 2.35228801068
399, 48.8671816115, 2.35039960359
400, 48.8718354862, 2.34039637872
401, 48.8683506138, 2.35009832282
402, 48.870469747, 2.33921900331
403, 48.8683130846, 2.35018947363
404, 48.8659126909, 2.34639356865
405, 48.8699577526, 2.35098140387
406, 48.8655508631, 2.35162932551
407, 48.867441241, 2.34375873287
408, 48.8706494432, 2.34762129153
409, 48.8699266857, 2.34990849411
410, 48.8681059098, 2.33401086923
411, 48.8706464172, 2.33279641841
412, 48.8646169691, 2.35150042248
413, 48.8652049801, 2.3440693633
414, 48.86665247, 2.34485335035
415, 48.8679727659, 2.33461471076
416, 48.8694835521, 2.33868905474
417, 48.8714379703, 2.33741515254
418, 48.8717311289, 2.33912174706
419, 48.8680516427, 2.33792064779
420, 48.8717171481, 2.33904591887
421, 48.8710094777, 2.33492727175
422, 48.8694358051, 2.33782673886
423, 48.8666427345, 2.35225316514
424, 48.8717058349, 2.33897435136
